symbol,Date,value
PACW,2023-01-01,0
PACW,2023-01-02,0
PACW,2023-01-03,0
PACW,2023-01-04,66
PACW,2023-01-05,0
PACW,2023-01-06,100
PACW,2023-01-07,73
PACW,2023-01-08,0
PACW,2023-01-09,0
PACW,2023-01-10,87
PACW,2023-01-11,0
PACW,2023-01-12,0
PACW,2023-01-13,0
PACW,2023-01-14,0
PACW,2023-01-15,0
PACW,2023-01-16,0
PACW,2023-01-17,0
PACW,2023-01-18,0
PACW,2023-01-19,71
PACW,2023-01-20,0
PACW,2023-01-21,0
PACW,2023-01-22,0
PACW,2023-01-23,0
PACW,2023-01-24,0
PACW,2023-01-25,0
PACW,2023-01-26,0
PACW,2023-01-27,0
PACW,2023-01-28,0
PACW,2023-01-29,68
PACW,2023-01-30,76
PACW,2023-01-31,0
GDEN,2022-05-01,38
GDEN,2022-05-02,64
GDEN,2022-05-03,0
GDEN,2022-05-04,44
GDEN,2022-05-05,52
GDEN,2022-05-06,0
GDEN,2022-05-07,53
GDEN,2022-05-08,62
GDEN,2022-05-09,56
GDEN,2022-05-10,0
GDEN,2022-05-11,22
GDEN,2022-05-12,0
GDEN,2022-05-13,33
GDEN,2022-05-14,56
GDEN,2022-05-15,0
GDEN,2022-05-16,100
GDEN,2022-05-17,62
GDEN,2022-05-18,38
GDEN,2022-05-19,0
GDEN,2022-05-20,91
GDEN,2022-05-21,63
GDEN,2022-05-22,32
GDEN,2022-05-23,0
GDEN,2022-05-24,59
GDEN,2022-05-25,71
GDEN,2022-05-26,0
GDEN,2022-05-27,0
GDEN,2022-05-28,0
GDEN,2022-05-29,34
GDEN,2022-05-30,59
GDEN,2022-05-31,0
GMVD,2023-02-01,38
GMVD,2023-02-02,20
GMVD,2023-02-03,0
GMVD,2023-02-04,19
GMVD,2023-02-05,0
GMVD,2023-02-06,15
GMVD,2023-02-07,100
GMVD,2023-02-08,39
GMVD,2023-02-09,0
GMVD,2023-02-10,0
GMVD,2023-02-11,21
GMVD,2023-02-12,0
GMVD,2023-02-13,0
GMVD,2023-02-14,0
GMVD,2023-02-15,0
GMVD,2023-02-16,22
GMVD,2023-02-17,0
GMVD,2023-02-18,25
GMVD,2023-02-19,0
GMVD,2023-02-20,0
GMVD,2023-02-21,32
GMVD,2023-02-22,0
GMVD,2023-02-23,0
GMVD,2023-02-24,0
GMVD,2023-02-25,0
GMVD,2023-02-26,0
GMVD,2023-02-27,0
GMVD,2023-02-28,29
GNRC,2022-05-01,13
GNRC,2022-05-02,35
GNRC,2022-05-03,43
GNRC,2022-05-04,86
GNRC,2022-05-05,94
GNRC,2022-05-06,30
GNRC,2022-05-07,25
GNRC,2022-05-08,24
GNRC,2022-05-09,100
GNRC,2022-05-10,45
GNRC,2022-05-11,47
GNRC,2022-05-12,34
GNRC,2022-05-13,41
GNRC,2022-05-14,29
GNRC,2022-05-15,0
GNRC,2022-05-16,0
GNRC,2022-05-17,44
GNRC,2022-05-18,66
GNRC,2022-05-19,77
GNRC,2022-05-20,40
GNRC,2022-05-21,0
GNRC,2022-05-22,0
GNRC,2022-05-23,40
GNRC,2022-05-24,76
GNRC,2022-05-25,31
GNRC,2022-05-26,32
GNRC,2022-05-27,43
GNRC,2022-05-28,14
GNRC,2022-05-29,23
GNRC,2022-05-30,22
GNRC,2022-05-31,25
ATKR,2023-01-01,0
ATKR,2023-01-02,0
ATKR,2023-01-03,53
ATKR,2023-01-04,54
ATKR,2023-01-05,0
ATKR,2023-01-06,0
ATKR,2023-01-07,100
ATKR,2023-01-08,0
ATKR,2023-01-09,0
ATKR,2023-01-10,0
ATKR,2023-01-11,0
ATKR,2023-01-12,0
ATKR,2023-01-13,0
ATKR,2023-01-14,0
ATKR,2023-01-15,59
ATKR,2023-01-16,0
ATKR,2023-01-17,0
ATKR,2023-01-18,0
ATKR,2023-01-19,0
ATKR,2023-01-20,0
ATKR,2023-01-21,81
ATKR,2023-01-22,0
ATKR,2023-01-23,0
ATKR,2023-01-24,0
ATKR,2023-01-25,0
ATKR,2023-01-26,0
ATKR,2023-01-27,0
ATKR,2023-01-28,0
ATKR,2023-01-29,0
ATKR,2023-01-30,92
ATKR,2023-01-31,0
AMD,2022-08-01,90
AMD,2022-08-02,100
AMD,2022-08-03,95
AMD,2022-08-04,98
AMD,2022-08-05,86
AMD,2022-08-06,86
AMD,2022-08-07,82
AMD,2022-08-08,86
AMD,2022-08-09,89
AMD,2022-08-10,94
AMD,2022-08-11,86
AMD,2022-08-12,86
AMD,2022-08-13,82
AMD,2022-08-14,80
AMD,2022-08-15,86
AMD,2022-08-16,85
AMD,2022-08-17,84
AMD,2022-08-18,83
AMD,2022-08-19,86
AMD,2022-08-20,82
AMD,2022-08-21,83
AMD,2022-08-22,80
AMD,2022-08-23,86
AMD,2022-08-24,86
AMD,2022-08-25,84
AMD,2022-08-26,82
AMD,2022-08-27,75
AMD,2022-08-28,79
AMD,2022-08-29,86
AMD,2022-08-30,95
AMD,2022-08-31,81
PHYS,2022-09-01,75
PHYS,2022-09-02,68
PHYS,2022-09-03,42
PHYS,2022-09-04,40
PHYS,2022-09-05,74
PHYS,2022-09-06,72
PHYS,2022-09-07,75
PHYS,2022-09-08,98
PHYS,2022-09-09,65
PHYS,2022-09-10,44
PHYS,2022-09-11,49
PHYS,2022-09-12,83
PHYS,2022-09-13,83
PHYS,2022-09-14,89
PHYS,2022-09-15,93
PHYS,2022-09-16,68
PHYS,2022-09-17,66
PHYS,2022-09-18,44
PHYS,2022-09-19,91
PHYS,2022-09-20,91
PHYS,2022-09-21,90
PHYS,2022-09-22,83
PHYS,2022-09-23,79
PHYS,2022-09-24,52
PHYS,2022-09-25,50
PHYS,2022-09-26,100
PHYS,2022-09-27,93
PHYS,2022-09-28,73
PHYS,2022-09-29,94
PHYS,2022-09-30,73
HLMN,2022-10-01,0
HLMN,2022-10-02,22
HLMN,2022-10-03,68
HLMN,2022-10-04,96
HLMN,2022-10-05,54
