"keyword","time","value"
"AAPL","2022-03-01",26
"AAPL","2022-03-02",47
"AAPL","2022-03-03",38
"AAPL","2022-03-04",100
"AAPL","2022-03-05",9
"AAPL","2022-03-06",0
"AAPL","2022-03-07",64
"AAPL","2022-03-08",68
"AAPL","2022-03-09",46
"AAPL","2022-03-10",38
"AAPL","2022-03-11",35
"AAPL","2022-03-12",9
"AAPL","2022-03-13",15
"AAPL","2022-03-14",58
"AAPL","2022-03-15",40
"AAPL","2022-03-16",56
"AAPL","2022-03-17",32
"AAPL","2022-03-18",44
"AAPL","2022-03-19",13
"AAPL","2022-03-20",0
"AAPL","2022-03-21",48
"AAPL","2022-03-22",55
"AAPL","2022-03-23",36
"AAPL","2022-03-24",26
"AAPL","2022-03-25",26
"AAPL","2022-03-26",0
"AAPL","2022-03-27",9
"AAPL","2022-03-28",39
"AAPL","2022-03-29",45
"AAPL","2022-03-30",58
"AAPL","2022-03-31",50
"AAPL","2022-04-01",35
"AAPL","2022-04-02",26
"AAPL","2022-04-03",15
"AAPL","2022-04-04",24
"AAPL","2022-04-05",38
"AAPL","2022-04-06",44
"AAPL","2022-04-07",60
"AAPL","2022-04-08",61
"AAPL","2022-04-09",15
"AAPL","2022-04-10",0
"AAPL","2022-04-11",42
"AAPL","2022-04-12",21
"AAPL","2022-04-13",20
"AAPL","2022-04-14",56
"AAPL","2022-04-15",13
"AAPL","2022-04-16",10
"AAPL","2022-04-17",0
"AAPL","2022-04-18",62
"AAPL","2022-04-19",53
"AAPL","2022-04-20",45
"AAPL","2022-04-21",42
"AAPL","2022-04-22",47
"AAPL","2022-04-23",0
"AAPL","2022-04-24",21
"AAPL","2022-04-25",67
"AAPL","2022-04-26",83
"AAPL","2022-04-27",36
"AAPL","2022-04-28",100
"AAPL","2022-04-29",94
"AAPL","2022-04-30",20
"AAPL","2022-05-01",30
"AAPL","2022-05-02",80
"AAPL","2022-05-03",42
"AAPL","2022-05-04",50
"AAPL","2022-05-05",98
"AAPL","2022-05-06",88
"AAPL","2022-05-07",0
"AAPL","2022-05-08",0
"AAPL","2022-05-09",82
"AAPL","2022-05-10",97
"AAPL","2022-05-11",55
"AAPL","2022-05-12",89
"AAPL","2022-05-13",54
"AAPL","2022-05-14",0
"AAPL","2022-05-15",0
"AAPL","2022-05-16",46
"AAPL","2022-05-17",35
"AAPL","2022-05-18",66
"AAPL","2022-05-19",73
"AAPL","2022-05-20",100
"AAPL","2022-05-21",17
"AAPL","2022-05-22",33
"AAPL","2022-05-23",55
"AAPL","2022-05-24",75
"AAPL","2022-05-25",62
"AAPL","2022-05-26",49
"AAPL","2022-05-27",44
"AAPL","2022-05-28",0
"AAPL","2022-05-29",0
"AAPL","2022-05-30",0
"AAPL","2022-05-31",53
"AAPL","2022-06-01",24
"AAPL","2022-06-02",42
"AAPL","2022-06-03",0
"AAPL","2022-06-04",0
"AAPL","2022-06-05",0
"AAPL","2022-06-06",36
"AAPL","2022-06-07",24
"AAPL","2022-06-08",97
"AAPL","2022-06-09",41
"AAPL","2022-06-10",42
"AAPL","2022-06-11",0
"AAPL","2022-06-12",16
"AAPL","2022-06-13",100
"AAPL","2022-06-14",50
"AAPL","2022-06-15",38
"AAPL","2022-06-16",38
"AAPL","2022-06-17",63
"AAPL","2022-06-18",22
"AAPL","2022-06-19",10
"AAPL","2022-06-20",19
"AAPL","2022-06-21",41
"AAPL","2022-06-22",12
"AAPL","2022-06-23",35
"AAPL","2022-06-24",47
"AAPL","2022-06-25",11
"AAPL","2022-06-26",0
"AAPL","2022-06-27",34
"AAPL","2022-06-28",29
"AAPL","2022-06-29",53
"AAPL","2022-06-30",32
"AAPL","2022-07-01",15
"AAPL","2022-07-02",14
"AAPL","2022-07-03",0
"AAPL","2022-07-04",19
"AAPL","2022-07-05",52
"AAPL","2022-07-06",0
"AAPL","2022-07-07",55
"AAPL","2022-07-08",58
"AAPL","2022-07-09",0
"AAPL","2022-07-10",0
"AAPL","2022-07-11",87
"AAPL","2022-07-12",94
"AAPL","2022-07-13",22
"AAPL","2022-07-14",24
"AAPL","2022-07-15",31
"AAPL","2022-07-16",0
"AAPL","2022-07-17",41
"AAPL","2022-07-18",33
"AAPL","2022-07-19",58
"AAPL","2022-07-20",43
"AAPL","2022-07-21",24
"AAPL","2022-07-22",44
"AAPL","2022-07-23",14
"AAPL","2022-07-24",0
"AAPL","2022-07-25",43
"AAPL","2022-07-26",68
"AAPL","2022-07-27",61
"AAPL","2022-07-28",100
"AAPL","2022-07-29",85
"AAPL","2022-07-30",0
"AAPL","2022-07-31",0
"AAPL","2022-08-01",57
"AAPL","2022-08-02",91
"AAPL","2022-08-03",62
"AAPL","2022-08-04",70
"AAPL","2022-08-05",70
"AAPL","2022-08-06",44
"AAPL","2022-08-07",0
"AAPL","2022-08-08",82
"AAPL","2022-08-09",37
"AAPL","2022-08-10",87
"AAPL","2022-08-11",79
"AAPL","2022-08-12",0
"AAPL","2022-08-13",0
"AAPL","2022-08-14",0
"AAPL","2022-08-15",64
"AAPL","2022-08-16",47
"AAPL","2022-08-17",71
"AAPL","2022-08-18",34
"AAPL","2022-08-19",31
"AAPL","2022-08-20",0
"AAPL","2022-08-21",0
"AAPL","2022-08-22",100
"AAPL","2022-08-23",78
"AAPL","2022-08-24",76
"AAPL","2022-08-25",41
"AAPL","2022-08-26",53
"AAPL","2022-08-27",0
"AAPL","2022-08-28",0
"AAPL","2022-08-29",65
"AAPL","2022-08-30",53
"AAPL","2022-08-31",34
"AAPL","2022-09-01",28
"AAPL","2022-09-02",41
"AAPL","2022-09-03",17
"AAPL","2022-09-04",21
"AAPL","2022-09-05",0
"AAPL","2022-09-06",67
"AAPL","2022-09-07",0
"AAPL","2022-09-08",39
"AAPL","2022-09-09",66
"AAPL","2022-09-10",18
"AAPL","2022-09-11",0
"AAPL","2022-09-12",41
"AAPL","2022-09-13",49
"AAPL","2022-09-14",55
"AAPL","2022-09-15",17
"AAPL","2022-09-16",43
"AAPL","2022-09-17",0
"AAPL","2022-09-18",0
"AAPL","2022-09-19",33
"AAPL","2022-09-20",43
"AAPL","2022-09-21",49
"AAPL","2022-09-22",52
"AAPL","2022-09-23",69
"AAPL","2022-09-24",17
"AAPL","2022-09-25",0
"AAPL","2022-09-26",27
"AAPL","2022-09-27",58
"AAPL","2022-09-28",50
"AAPL","2022-09-29",100
"AAPL","2022-09-30",37
"AAPL","2022-10-01",0
"AAPL","2022-10-02",0
"AAPL","2022-10-03",48
"AAPL","2022-10-04",43
"AAPL","2022-10-05",48
"AAPL","2022-10-06",57
"AAPL","2022-10-07",85
"AAPL","2022-10-08",0
"AAPL","2022-10-09",41
"AAPL","2022-10-10",58
"AAPL","2022-10-11",50
"AAPL","2022-10-12",27
"AAPL","2022-10-13",57
"AAPL","2022-10-14",56
"AAPL","2022-10-15",37
"AAPL","2022-10-16",0
"AAPL","2022-10-17",59
"AAPL","2022-10-18",23
"AAPL","2022-10-19",53
"AAPL","2022-10-20",50
"AAPL","2022-10-21",0
"AAPL","2022-10-22",17
"AAPL","2022-10-23",0
"AAPL","2022-10-24",0
"AAPL","2022-10-25",58
"AAPL","2022-10-26",75
"AAPL","2022-10-27",88
"AAPL","2022-10-28",100
"AAPL","2022-10-29",0
"AAPL","2022-10-30",30
"AAPL","2022-10-31",0
"AAPL","2022-11-01",77
"AAPL","2022-11-02",94
"AAPL","2022-11-03",98
"AAPL","2022-11-04",67
"AAPL","2022-11-05",0
"AAPL","2022-11-06",22
"AAPL","2022-11-07",84
"AAPL","2022-11-08",83
"AAPL","2022-11-09",74
"AAPL","2022-11-10",100
"AAPL","2022-11-11",41
"AAPL","2022-11-12",0
"AAPL","2022-11-13",0
"AAPL","2022-11-14",84
"AAPL","2022-11-15",51
"AAPL","2022-11-16",56
"AAPL","2022-11-17",41
"AAPL","2022-11-18",40
"AAPL","2022-11-19",16
"AAPL","2022-11-20",31
"AAPL","2022-11-21",58
"AAPL","2022-11-22",19
"AAPL","2022-11-23",78
"AAPL","2022-11-24",21
"AAPL","2022-11-25",34
"AAPL","2022-11-26",24
"AAPL","2022-11-27",16
"AAPL","2022-11-28",43
"AAPL","2022-11-29",50
"AAPL","2022-11-30",57
"AAPL","2022-12-01",72
"AAPL","2022-12-02",43
"AAPL","2022-12-03",0
"AAPL","2022-12-04",0
"AAPL","2022-12-05",39
"AAPL","2022-12-06",63
"AAPL","2022-12-07",48
"AAPL","2022-12-08",29
"AAPL","2022-12-09",28
"AAPL","2022-12-10",20
"AAPL","2022-12-11",0
"AAPL","2022-12-12",49
"AAPL","2022-12-13",71
"AAPL","2022-12-14",48
"AAPL","2022-12-15",68
"AAPL","2022-12-16",26
"AAPL","2022-12-17",12
"AAPL","2022-12-18",0
"AAPL","2022-12-19",0
"AAPL","2022-12-20",35
"AAPL","2022-12-21",100
"AAPL","2022-12-22",56
"AAPL","2022-12-23",57
"AAPL","2022-12-24",0
"AAPL","2022-12-25",24
"AAPL","2022-12-26",0
"AAPL","2022-12-27",49
"AAPL","2022-12-28",0
"AAPL","2022-12-29",19
"AAPL","2022-12-30",35
"AAPL","2022-12-31",20
"AAPL","2023-01-01",0
"AAPL","2023-01-02",17
"AAPL","2023-01-03",90
"AAPL","2023-01-04",74
"AAPL","2023-01-05",98
"AAPL","2023-01-06",90
"AAPL","2023-01-07",0
"AAPL","2023-01-08",0
"AAPL","2023-01-09",62
"AAPL","2023-01-10",66
"AAPL","2023-01-11",65
