"keyword","time","value"
"AAPL","2022-03-01",48
"AAPL","2022-03-02",31
"AAPL","2022-03-03",44
"AAPL","2022-03-04",50
"AAPL","2022-03-05",24
"AAPL","2022-03-06",0
"AAPL","2022-03-07",36
"AAPL","2022-03-08",56
"AAPL","2022-03-09",46
"AAPL","2022-03-10",24
"AAPL","2022-03-11",47
"AAPL","2022-03-12",0
"AAPL","2022-03-13",0
"AAPL","2022-03-14",38
"AAPL","2022-03-15",28
"AAPL","2022-03-16",54
"AAPL","2022-03-17",29
"AAPL","2022-03-18",43
"AAPL","2022-03-19",0
"AAPL","2022-03-20",0
"AAPL","2022-03-21",16
"AAPL","2022-03-22",30
"AAPL","2022-03-23",47
"AAPL","2022-03-24",9
"AAPL","2022-03-25",32
"AAPL","2022-03-26",0
"AAPL","2022-03-27",0
"AAPL","2022-03-28",39
"AAPL","2022-03-29",45
"AAPL","2022-03-30",61
"AAPL","2022-03-31",42
"AAPL","2022-04-01",17
"AAPL","2022-04-02",0
"AAPL","2022-04-03",18
"AAPL","2022-04-04",37
"AAPL","2022-04-05",37
"AAPL","2022-04-06",44
"AAPL","2022-04-07",34
"AAPL","2022-04-08",45
"AAPL","2022-04-09",12
"AAPL","2022-04-10",0
"AAPL","2022-04-11",27
"AAPL","2022-04-12",23
"AAPL","2022-04-13",28
"AAPL","2022-04-14",41
"AAPL","2022-04-15",0
"AAPL","2022-04-16",0
"AAPL","2022-04-17",0
"AAPL","2022-04-18",38
"AAPL","2022-04-19",31
"AAPL","2022-04-20",25
"AAPL","2022-04-21",30
"AAPL","2022-04-22",26
"AAPL","2022-04-23",0
"AAPL","2022-04-24",24
"AAPL","2022-04-25",43
"AAPL","2022-04-26",58
"AAPL","2022-04-27",44
"AAPL","2022-04-28",60
"AAPL","2022-04-29",69
"AAPL","2022-04-30",20
"AAPL","2022-05-01",0
"AAPL","2022-05-02",49
"AAPL","2022-05-03",34
"AAPL","2022-05-04",46
"AAPL","2022-05-05",69
"AAPL","2022-05-06",68
"AAPL","2022-05-07",12
"AAPL","2022-05-08",19
"AAPL","2022-05-09",71
"AAPL","2022-05-10",82
"AAPL","2022-05-11",76
"AAPL","2022-05-12",100
"AAPL","2022-05-13",23
"AAPL","2022-05-14",14
"AAPL","2022-05-15",17
"AAPL","2022-05-16",58
"AAPL","2022-05-17",38
"AAPL","2022-05-18",57
"AAPL","2022-05-19",56
"AAPL","2022-05-20",70
"AAPL","2022-05-21",14
"AAPL","2022-05-22",0
"AAPL","2022-05-23",52
"AAPL","2022-05-24",67
"AAPL","2022-05-25",62
"AAPL","2022-05-26",18
"AAPL","2022-05-27",0
"AAPL","2022-05-28",0
"AAPL","2022-05-29",0
"AAPL","2022-05-30",8
"AAPL","2022-05-31",46
"AAPL","2022-06-01",38
"AAPL","2022-06-02",44
"AAPL","2022-06-03",0
"AAPL","2022-06-04",18
"AAPL","2022-06-05",0
"AAPL","2022-06-06",33
"AAPL","2022-06-07",30
"AAPL","2022-06-08",58
"AAPL","2022-06-09",40
"AAPL","2022-06-10",37
"AAPL","2022-06-11",0
"AAPL","2022-06-12",0
"AAPL","2022-06-13",98
"AAPL","2022-06-14",39
"AAPL","2022-06-15",24
"AAPL","2022-06-16",75
"AAPL","2022-06-17",55
"AAPL","2022-06-18",0
"AAPL","2022-06-19",0
"AAPL","2022-06-20",18
"AAPL","2022-06-21",43
"AAPL","2022-06-22",24
"AAPL","2022-06-23",58
"AAPL","2022-06-24",55
"AAPL","2022-06-25",10
"AAPL","2022-06-26",13
"AAPL","2022-06-27",36
"AAPL","2022-06-28",26
"AAPL","2022-06-29",11
"AAPL","2022-06-30",37
"AAPL","2022-07-01",29
"AAPL","2022-07-02",26
"AAPL","2022-07-03",0
"AAPL","2022-07-04",18
"AAPL","2022-07-05",51
"AAPL","2022-07-06",50
"AAPL","2022-07-07",46
"AAPL","2022-07-08",56
"AAPL","2022-07-09",0
"AAPL","2022-07-10",0
"AAPL","2022-07-11",22
