"keyword","time","value"
"AAL","2022-10-01",0
"AAL","2022-10-02",0
"AAL","2022-10-03",0
"AAL","2022-10-04",35
"AAL","2022-10-05",0
"AAL","2022-10-06",0
"AAL","2022-10-07",0
"AAL","2022-10-08",0
"AAL","2022-10-09",0
"AAL","2022-10-10",0
"AAL","2022-10-11",0
"AAL","2022-10-12",87
"AAL","2022-10-13",100
"AAL","2022-10-14",90
"AAL","2022-10-15",0
"AAL","2022-10-16",0
"AAL","2022-10-17",0
"AAL","2022-10-18",75
"AAL","2022-10-19",0
"AAL","2022-10-20",0
"AAL","2022-10-21",35
"AAL","2022-10-22",0
"AAL","2022-10-23",0
"AAL","2022-10-24",76
"AAL","2022-10-25",30
"AAL","2022-10-26",90
"AAL","2022-10-27",39
"AAL","2022-10-28",0
"AAL","2022-10-29",55
"AAL","2022-10-30",0
"AAL","2022-10-31",0
