"keyword","time","value"
"AAPL","2023-02-01",39
"AAPL","2023-02-02",99
"AAPL","2023-02-03",100
"AAPL","2023-02-04",13
"AAPL","2023-02-05",7
"AAPL","2023-02-06",36
"AAPL","2023-02-07",34
"AAPL","2023-02-08",33
"AAPL","2023-02-09",33
"AAPL","2023-02-10",30
"AAPL","2023-02-11",8
"AAPL","2023-02-12",6
"AAPL","2023-02-13",31
"AAPL","2023-02-14",29
"AAPL","2023-02-15",32
"AAPL","2023-02-16",30
"AAPL","2023-02-17",30
"AAPL","2023-02-18",8
"AAPL","2023-02-19",5
"AAPL","2023-02-20",10
"AAPL","2023-02-21",28
"AAPL","2023-02-22",27
"AAPL","2023-02-23",27
"AAPL","2023-02-24",24
"AAPL","2023-02-25",7
"AAPL","2023-02-26",4
"AAPL","2023-02-27",26
"AAPL","2023-02-28",23
