"keyword","time","value"
"AGNC","2022-11-01",85
"AGNC","2022-11-02",71
"AGNC","2022-11-03",91
"AGNC","2022-11-04",52
"AGNC","2022-11-05",45
"AGNC","2022-11-06",41
"AGNC","2022-11-07",72
"AGNC","2022-11-08",66
"AGNC","2022-11-09",100
"AGNC","2022-11-10",90
"AGNC","2022-11-11",87
"AGNC","2022-11-12",20
"AGNC","2022-11-13",32
"AGNC","2022-11-14",58
"AGNC","2022-11-15",65
"AGNC","2022-11-16",54
"AGNC","2022-11-17",72
"AGNC","2022-11-18",61
"AGNC","2022-11-19",34
"AGNC","2022-11-20",10
"AGNC","2022-11-21",43
"AGNC","2022-11-22",25
"AGNC","2022-11-23",61
"AGNC","2022-11-24",9
"AGNC","2022-11-25",73
"AGNC","2022-11-26",9
"AGNC","2022-11-27",21
"AGNC","2022-11-28",72
"AGNC","2022-11-29",44
"AGNC","2022-11-30",66
