"keyword","time","value"
"AMC","2022-11-01",47
"AMC","2022-11-02",42
"AMC","2022-11-03",43
"AMC","2022-11-04",51
"AMC","2022-11-05",53
"AMC","2022-11-06",48
"AMC","2022-11-07",46
"AMC","2022-11-08",52
"AMC","2022-11-09",49
"AMC","2022-11-10",60
"AMC","2022-11-11",100
"AMC","2022-11-12",93
"AMC","2022-11-13",73
"AMC","2022-11-14",59
"AMC","2022-11-15",56
"AMC","2022-11-16",52
"AMC","2022-11-17",47
"AMC","2022-11-18",58
"AMC","2022-11-19",67
"AMC","2022-11-20",57
"AMC","2022-11-21",54
"AMC","2022-11-22",50
"AMC","2022-11-23",54
"AMC","2022-11-24",48
"AMC","2022-11-25",57
"AMC","2022-11-26",59
"AMC","2022-11-27",50
"AMC","2022-11-28",37
"AMC","2022-11-29",44
"AMC","2022-11-30",40
