"keyword","time","value"
"AMD","2022-03-01",91
"AMD","2022-03-02",91
"AMD","2022-03-03",93
"AMD","2022-03-04",91
"AMD","2022-03-05",84
"AMD","2022-03-06",76
"AMD","2022-03-07",86
"AMD","2022-03-08",82
"AMD","2022-03-09",82
"AMD","2022-03-10",90
"AMD","2022-03-11",87
"AMD","2022-03-12",80
"AMD","2022-03-13",88
"AMD","2022-03-14",88
"AMD","2022-03-15",94
"AMD","2022-03-16",89
"AMD","2022-03-17",100
"AMD","2022-03-18",93
"AMD","2022-03-19",88
"AMD","2022-03-20",85
"AMD","2022-03-21",87
"AMD","2022-03-22",83
"AMD","2022-03-23",84
"AMD","2022-03-24",91
"AMD","2022-03-25",93
"AMD","2022-03-26",80
"AMD","2022-03-27",73
"AMD","2022-03-28",86
"AMD","2022-03-29",88
"AMD","2022-03-30",86
"AMD","2022-03-31",95
