"keyword","time","value"
"AMZN","2022-09-01",100
"AMZN","2022-09-02",24
"AMZN","2022-09-03",28
"AMZN","2022-09-04",59
"AMZN","2022-09-05",19
"AMZN","2022-09-06",66
"AMZN","2022-09-07",21
"AMZN","2022-09-08",22
"AMZN","2022-09-09",49
"AMZN","2022-09-10",0
"AMZN","2022-09-11",0
"AMZN","2022-09-12",38
"AMZN","2022-09-13",88
"AMZN","2022-09-14",65
"AMZN","2022-09-15",55
"AMZN","2022-09-16",31
"AMZN","2022-09-17",0
"AMZN","2022-09-18",0
"AMZN","2022-09-19",19
"AMZN","2022-09-20",27
"AMZN","2022-09-21",75
"AMZN","2022-09-22",67
"AMZN","2022-09-23",77
"AMZN","2022-09-24",28
"AMZN","2022-09-25",0
"AMZN","2022-09-26",33
"AMZN","2022-09-27",54
"AMZN","2022-09-28",52
"AMZN","2022-09-29",28
"AMZN","2022-09-30",64
