"keyword","time","value"
"APE","2022-03-01",78
"APE","2022-03-02",0
"APE","2022-03-03",0
"APE","2022-03-04",0
"APE","2022-03-05",0
"APE","2022-03-06",0
"APE","2022-03-07",0
"APE","2022-03-08",0
"APE","2022-03-09",0
"APE","2022-03-10",0
"APE","2022-03-11",0
"APE","2022-03-12",0
"APE","2022-03-13",0
"APE","2022-03-14",0
"APE","2022-03-15",72
"APE","2022-03-16",0
"APE","2022-03-17",0
"APE","2022-03-18",100
"APE","2022-03-19",0
"APE","2022-03-20",0
"APE","2022-03-21",0
"APE","2022-03-22",0
"APE","2022-03-23",0
"APE","2022-03-24",0
"APE","2022-03-25",0
"APE","2022-03-26",0
"APE","2022-03-27",0
"APE","2022-03-28",0
"APE","2022-03-29",0
"APE","2022-03-30",78
"APE","2022-03-31",0
