"keyword","time","value"
"ASML","2022-11-01",60
"ASML","2022-11-02",63
"ASML","2022-11-03",65
"ASML","2022-11-04",57
"ASML","2022-11-05",31
"ASML","2022-11-06",26
"ASML","2022-11-07",52
"ASML","2022-11-08",70
"ASML","2022-11-09",58
"ASML","2022-11-10",81
"ASML","2022-11-11",100
"ASML","2022-11-12",33
"ASML","2022-11-13",34
"ASML","2022-11-14",85
"ASML","2022-11-15",89
"ASML","2022-11-16",89
"ASML","2022-11-17",90
"ASML","2022-11-18",81
"ASML","2022-11-19",41
"ASML","2022-11-20",29
"ASML","2022-11-21",71
"ASML","2022-11-22",61
"ASML","2022-11-23",60
"ASML","2022-11-24",51
"ASML","2022-11-25",55
"ASML","2022-11-26",19
"ASML","2022-11-27",23
"ASML","2022-11-28",60
"ASML","2022-11-29",56
"ASML","2022-11-30",67
