"keyword","time","value"
"BAC","2023-02-01",0
"BAC","2023-02-02",0
"BAC","2023-02-03",66
"BAC","2023-02-04",0
"BAC","2023-02-05",0
"BAC","2023-02-06",0
"BAC","2023-02-07",57
"BAC","2023-02-08",0
"BAC","2023-02-09",0
"BAC","2023-02-10",46
"BAC","2023-02-11",0
"BAC","2023-02-12",0
"BAC","2023-02-13",0
"BAC","2023-02-14",0
"BAC","2023-02-15",66
"BAC","2023-02-16",0
"BAC","2023-02-17",0
"BAC","2023-02-18",0
"BAC","2023-02-19",0
"BAC","2023-02-20",71
"BAC","2023-02-21",0
"BAC","2023-02-22",0
"BAC","2023-02-23",100
"BAC","2023-02-24",0
"BAC","2023-02-25",0
"BAC","2023-02-26",0
"BAC","2023-02-27",74
"BAC","2023-02-28",64
