"keyword","time","value"
"BBBY","2022-10-01",29
"BBBY","2022-10-02",18
"BBBY","2022-10-03",88
"BBBY","2022-10-04",89
"BBBY","2022-10-05",72
"BBBY","2022-10-06",66
"BBBY","2022-10-07",62
"BBBY","2022-10-08",14
"BBBY","2022-10-09",14
"BBBY","2022-10-10",66
"BBBY","2022-10-11",66
"BBBY","2022-10-12",70
"BBBY","2022-10-13",79
"BBBY","2022-10-14",58
"BBBY","2022-10-15",13
"BBBY","2022-10-16",10
"BBBY","2022-10-17",80
"BBBY","2022-10-18",75
"BBBY","2022-10-19",60
"BBBY","2022-10-20",63
"BBBY","2022-10-21",59
"BBBY","2022-10-22",18
"BBBY","2022-10-23",15
"BBBY","2022-10-24",52
"BBBY","2022-10-25",100
"BBBY","2022-10-26",84
"BBBY","2022-10-27",73
"BBBY","2022-10-28",69
"BBBY","2022-10-29",16
"BBBY","2022-10-30",6
"BBBY","2022-10-31",70
