"keyword","time","value"
"BBIO","2022-04-01",39
"BBIO","2022-04-02",0
"BBIO","2022-04-03",0
"BBIO","2022-04-04",27
"BBIO","2022-04-05",38
"BBIO","2022-04-06",63
"BBIO","2022-04-07",83
"BBIO","2022-04-08",0
"BBIO","2022-04-09",45
"BBIO","2022-04-10",0
"BBIO","2022-04-11",24
"BBIO","2022-04-12",46
"BBIO","2022-04-13",27
"BBIO","2022-04-14",44
"BBIO","2022-04-15",47
"BBIO","2022-04-16",31
"BBIO","2022-04-17",0
"BBIO","2022-04-18",44
"BBIO","2022-04-19",100
"BBIO","2022-04-20",0
"BBIO","2022-04-21",19
"BBIO","2022-04-22",95
"BBIO","2022-04-23",59
"BBIO","2022-04-24",0
"BBIO","2022-04-25",0
"BBIO","2022-04-26",31
"BBIO","2022-04-27",0
"BBIO","2022-04-28",34
"BBIO","2022-04-29",74
"BBIO","2022-04-30",23
