"keyword","time","value"
"BLU","2023-01-01",0
"BLU","2023-01-02",0
"BLU","2023-01-03",0
"BLU","2023-01-04",0
"BLU","2023-01-05",64
"BLU","2023-01-06",0
"BLU","2023-01-07",0
"BLU","2023-01-08",0
"BLU","2023-01-09",0
"BLU","2023-01-10",0
"BLU","2023-01-11",0
"BLU","2023-01-12",60
"BLU","2023-01-13",0
"BLU","2023-01-14",0
"BLU","2023-01-15",0
"BLU","2023-01-16",0
"BLU","2023-01-17",0
"BLU","2023-01-18",35
"BLU","2023-01-19",68
"BLU","2023-01-20",0
"BLU","2023-01-21",0
"BLU","2023-01-22",56
"BLU","2023-01-23",56
"BLU","2023-01-24",0
"BLU","2023-01-25",100
"BLU","2023-01-26",0
"BLU","2023-01-27",0
"BLU","2023-01-28",0
"BLU","2023-01-29",0
"BLU","2023-01-30",0
"BLU","2023-01-31",58
