"keyword","time","value"
"BMEA","2022-12-01",0
"BMEA","2022-12-02",0
"BMEA","2022-12-03",0
"BMEA","2022-12-04",0
"BMEA","2022-12-05",0
"BMEA","2022-12-06",0
"BMEA","2022-12-07",0
"BMEA","2022-12-08",0
"BMEA","2022-12-09",0
"BMEA","2022-12-10",0
"BMEA","2022-12-11",0
"BMEA","2022-12-12",0
"BMEA","2022-12-13",21
"BMEA","2022-12-14",0
"BMEA","2022-12-15",0
"BMEA","2022-12-16",0
"BMEA","2022-12-17",26
"BMEA","2022-12-18",0
"BMEA","2022-12-19",0
"BMEA","2022-12-20",0
"BMEA","2022-12-21",25
"BMEA","2022-12-22",100
"BMEA","2022-12-23",0
"BMEA","2022-12-24",0
"BMEA","2022-12-25",0
"BMEA","2022-12-26",0
"BMEA","2022-12-27",0
"BMEA","2022-12-28",27
"BMEA","2022-12-29",41
"BMEA","2022-12-30",0
"BMEA","2022-12-31",0
