"keyword","time","value"
"BSGA","2022-06-01",0
"BSGA","2022-06-02",0
"BSGA","2022-06-03",0
"BSGA","2022-06-04",0
"BSGA","2022-06-05",0
"BSGA","2022-06-06",0
"BSGA","2022-06-07",0
"BSGA","2022-06-08",0
"BSGA","2022-06-09",48
"BSGA","2022-06-10",0
"BSGA","2022-06-11",0
"BSGA","2022-06-12",0
"BSGA","2022-06-13",0
"BSGA","2022-06-14",0
"BSGA","2022-06-15",100
"BSGA","2022-06-16",37
"BSGA","2022-06-17",0
"BSGA","2022-06-18",0
"BSGA","2022-06-19",0
"BSGA","2022-06-20",0
"BSGA","2022-06-21",0
"BSGA","2022-06-22",0
"BSGA","2022-06-23",0
"BSGA","2022-06-24",0
"BSGA","2022-06-25",0
"BSGA","2022-06-26",0
"BSGA","2022-06-27",0
"BSGA","2022-06-28",0
"BSGA","2022-06-29",53
"BSGA","2022-06-30",0
