"keyword","time","value"
"CSCO","2022-07-01",59
"CSCO","2022-07-02",26
"CSCO","2022-07-03",18
"CSCO","2022-07-04",16
"CSCO","2022-07-05",71
"CSCO","2022-07-06",88
"CSCO","2022-07-07",70
"CSCO","2022-07-08",77
"CSCO","2022-07-09",32
"CSCO","2022-07-10",12
"CSCO","2022-07-11",71
"CSCO","2022-07-12",52
"CSCO","2022-07-13",51
"CSCO","2022-07-14",76
"CSCO","2022-07-15",58
"CSCO","2022-07-16",37
"CSCO","2022-07-17",22
"CSCO","2022-07-18",78
"CSCO","2022-07-19",81
"CSCO","2022-07-20",100
"CSCO","2022-07-21",65
"CSCO","2022-07-22",69
"CSCO","2022-07-23",21
"CSCO","2022-07-24",6
"CSCO","2022-07-25",59
"CSCO","2022-07-26",80
"CSCO","2022-07-27",88
"CSCO","2022-07-28",93
"CSCO","2022-07-29",80
"CSCO","2022-07-30",35
"CSCO","2022-07-31",21
