"keyword","time","value"
"CTRA","2022-06-01",47
"CTRA","2022-06-02",96
"CTRA","2022-06-03",71
"CTRA","2022-06-04",32
"CTRA","2022-06-05",35
"CTRA","2022-06-06",53
"CTRA","2022-06-07",76
"CTRA","2022-06-08",35
"CTRA","2022-06-09",62
"CTRA","2022-06-10",34
"CTRA","2022-06-11",34
"CTRA","2022-06-12",53
"CTRA","2022-06-13",63
"CTRA","2022-06-14",61
"CTRA","2022-06-15",90
"CTRA","2022-06-16",51
"CTRA","2022-06-17",100
"CTRA","2022-06-18",22
"CTRA","2022-06-19",32
"CTRA","2022-06-20",64
"CTRA","2022-06-21",59
"CTRA","2022-06-22",65
"CTRA","2022-06-23",50
"CTRA","2022-06-24",25
"CTRA","2022-06-25",32
"CTRA","2022-06-26",0
"CTRA","2022-06-27",58
"CTRA","2022-06-28",41
"CTRA","2022-06-29",48
"CTRA","2022-06-30",57
