"keyword","time","value"
"DKNG","2022-10-01",0
"DKNG","2022-10-02",0
"DKNG","2022-10-03",0
"DKNG","2022-10-04",0
"DKNG","2022-10-05",21
"DKNG","2022-10-06",0
"DKNG","2022-10-07",0
"DKNG","2022-10-08",64
"DKNG","2022-10-09",0
"DKNG","2022-10-10",0
"DKNG","2022-10-11",0
"DKNG","2022-10-12",0
"DKNG","2022-10-13",0
"DKNG","2022-10-14",0
"DKNG","2022-10-15",68
"DKNG","2022-10-16",0
"DKNG","2022-10-17",0
"DKNG","2022-10-18",0
"DKNG","2022-10-19",26
"DKNG","2022-10-20",0
"DKNG","2022-10-21",0
"DKNG","2022-10-22",0
"DKNG","2022-10-23",0
"DKNG","2022-10-24",0
"DKNG","2022-10-25",0
"DKNG","2022-10-26",0
"DKNG","2022-10-27",19
"DKNG","2022-10-28",0
"DKNG","2022-10-29",0
"DKNG","2022-10-30",100
"DKNG","2022-10-31",0
