"keyword","time","value"
"ELYM","2023-01-01",0
"ELYM","2023-01-02",0
"ELYM","2023-01-03",0
"ELYM","2023-01-04",0
"ELYM","2023-01-05",0
"ELYM","2023-01-06",0
"ELYM","2023-01-07",0
"ELYM","2023-01-08",92
"ELYM","2023-01-09",0
"ELYM","2023-01-10",0
"ELYM","2023-01-11",0
"ELYM","2023-01-12",0
"ELYM","2023-01-13",0
"ELYM","2023-01-14",0
"ELYM","2023-01-15",0
"ELYM","2023-01-16",0
"ELYM","2023-01-17",0
"ELYM","2023-01-18",0
"ELYM","2023-01-19",0
"ELYM","2023-01-20",66
"ELYM","2023-01-21",0
"ELYM","2023-01-22",0
"ELYM","2023-01-23",0
"ELYM","2023-01-24",0
"ELYM","2023-01-25",0
"ELYM","2023-01-26",0
"ELYM","2023-01-27",0
"ELYM","2023-01-28",0
"ELYM","2023-01-29",0
"ELYM","2023-01-30",0
"ELYM","2023-01-31",100
