"keyword","time","value"
"ERIC","2022-07-01",0
"ERIC","2022-07-02",49
"ERIC","2022-07-03",0
"ERIC","2022-07-04",0
"ERIC","2022-07-05",56
"ERIC","2022-07-06",0
"ERIC","2022-07-07",0
"ERIC","2022-07-08",0
"ERIC","2022-07-09",95
"ERIC","2022-07-10",0
"ERIC","2022-07-11",0
"ERIC","2022-07-12",0
"ERIC","2022-07-13",0
"ERIC","2022-07-14",64
"ERIC","2022-07-15",0
"ERIC","2022-07-16",0
"ERIC","2022-07-17",0
"ERIC","2022-07-18",0
"ERIC","2022-07-19",0
"ERIC","2022-07-20",55
"ERIC","2022-07-21",0
"ERIC","2022-07-22",0
"ERIC","2022-07-23",55
"ERIC","2022-07-24",0
"ERIC","2022-07-25",0
"ERIC","2022-07-26",0
"ERIC","2022-07-27",100
"ERIC","2022-07-28",0
"ERIC","2022-07-29",0
"ERIC","2022-07-30",0
"ERIC","2022-07-31",0
