"keyword","time","value"
"ETRN","2023-04-01",0
"ETRN","2023-04-02",0
"ETRN","2023-04-03",85
"ETRN","2023-04-04",51
"ETRN","2023-04-05",32
"ETRN","2023-04-06",0
"ETRN","2023-04-07",0
"ETRN","2023-04-08",0
"ETRN","2023-04-09",0
"ETRN","2023-04-10",50
"ETRN","2023-04-11",38
"ETRN","2023-04-12",67
"ETRN","2023-04-13",100
"ETRN","2023-04-14",0
"ETRN","2023-04-15",24
"ETRN","2023-04-16",0
"ETRN","2023-04-17",0
"ETRN","2023-04-18",61
"ETRN","2023-04-19",82
"ETRN","2023-04-20",55
"ETRN","2023-04-21",0
"ETRN","2023-04-22",0
"ETRN","2023-04-23",0
"ETRN","2023-04-24",0
