"keyword","time","value"
"EXTR","2022-07-01",58
"EXTR","2022-07-02",100
"EXTR","2022-07-03",63
"EXTR","2022-07-04",90
"EXTR","2022-07-05",43
"EXTR","2022-07-06",99
"EXTR","2022-07-07",53
"EXTR","2022-07-08",34
"EXTR","2022-07-09",55
"EXTR","2022-07-10",78
"EXTR","2022-07-11",61
"EXTR","2022-07-12",52
"EXTR","2022-07-13",52
"EXTR","2022-07-14",49
"EXTR","2022-07-15",47
"EXTR","2022-07-16",23
"EXTR","2022-07-17",52
"EXTR","2022-07-18",33
"EXTR","2022-07-19",44
"EXTR","2022-07-20",63
"EXTR","2022-07-21",14
"EXTR","2022-07-22",62
"EXTR","2022-07-23",66
"EXTR","2022-07-24",28
"EXTR","2022-07-25",54
"EXTR","2022-07-26",47
"EXTR","2022-07-27",0
"EXTR","2022-07-28",39
"EXTR","2022-07-29",58
"EXTR","2022-07-30",43
"EXTR","2022-07-31",26
