"keyword","time","value"
"FDBC","2022-08-01",0
"FDBC","2022-08-02",0
"FDBC","2022-08-03",0
"FDBC","2022-08-04",0
"FDBC","2022-08-05",35
"FDBC","2022-08-06",0
"FDBC","2022-08-07",0
"FDBC","2022-08-08",46
"FDBC","2022-08-09",34
"FDBC","2022-08-10",0
"FDBC","2022-08-11",36
"FDBC","2022-08-12",40
"FDBC","2022-08-13",0
"FDBC","2022-08-14",0
"FDBC","2022-08-15",0
"FDBC","2022-08-16",26
"FDBC","2022-08-17",0
"FDBC","2022-08-18",0
"FDBC","2022-08-19",63
"FDBC","2022-08-20",74
"FDBC","2022-08-21",0
"FDBC","2022-08-22",0
"FDBC","2022-08-23",0
"FDBC","2022-08-24",83
"FDBC","2022-08-25",100
"FDBC","2022-08-26",0
"FDBC","2022-08-27",0
"FDBC","2022-08-28",0
"FDBC","2022-08-29",35
"FDBC","2022-08-30",30
"FDBC","2022-08-31",28
