"keyword","time","value"
"FRC","2022-07-01",74
"FRC","2022-07-02",64
"FRC","2022-07-03",51
"FRC","2022-07-04",82
"FRC","2022-07-05",75
"FRC","2022-07-06",90
"FRC","2022-07-07",73
"FRC","2022-07-08",80
"FRC","2022-07-09",28
"FRC","2022-07-10",38
"FRC","2022-07-11",68
"FRC","2022-07-12",69
"FRC","2022-07-13",91
"FRC","2022-07-14",85
"FRC","2022-07-15",76
"FRC","2022-07-16",46
"FRC","2022-07-17",57
"FRC","2022-07-18",90
"FRC","2022-07-19",88
"FRC","2022-07-20",90
"FRC","2022-07-21",82
"FRC","2022-07-22",72
"FRC","2022-07-23",34
"FRC","2022-07-24",45
"FRC","2022-07-25",84
"FRC","2022-07-26",100
"FRC","2022-07-27",89
"FRC","2022-07-28",82
"FRC","2022-07-29",79
"FRC","2022-07-30",56
"FRC","2022-07-31",43
