"keyword","time","value"
"GDEN","2022-12-01",19
"GDEN","2022-12-02",0
"GDEN","2022-12-03",26
"GDEN","2022-12-04",100
"GDEN","2022-12-05",0
"GDEN","2022-12-06",80
"GDEN","2022-12-07",0
"GDEN","2022-12-08",0
"GDEN","2022-12-09",30
"GDEN","2022-12-10",75
"GDEN","2022-12-11",0
"GDEN","2022-12-12",0
"GDEN","2022-12-13",0
"GDEN","2022-12-14",34
"GDEN","2022-12-15",26
"GDEN","2022-12-16",18
"GDEN","2022-12-17",0
"GDEN","2022-12-18",51
"GDEN","2022-12-19",0
"GDEN","2022-12-20",0
"GDEN","2022-12-21",0
"GDEN","2022-12-22",42
"GDEN","2022-12-23",0
"GDEN","2022-12-24",0
"GDEN","2022-12-25",44
"GDEN","2022-12-26",58
"GDEN","2022-12-27",0
"GDEN","2022-12-28",34
"GDEN","2022-12-29",56
"GDEN","2022-12-30",46
"GDEN","2022-12-31",74
