"keyword","time","value"
"GMDA","2022-03-01",0
"GMDA","2022-03-02",0
"GMDA","2022-03-03",55
"GMDA","2022-03-04",100
"GMDA","2022-03-05",35
"GMDA","2022-03-06",0
"GMDA","2022-03-07",0
"GMDA","2022-03-08",0
"GMDA","2022-03-09",37
"GMDA","2022-03-10",0
"GMDA","2022-03-11",51
"GMDA","2022-03-12",0
"GMDA","2022-03-13",0
"GMDA","2022-03-14",0
"GMDA","2022-03-15",32
"GMDA","2022-03-16",0
"GMDA","2022-03-17",0
"GMDA","2022-03-18",0
"GMDA","2022-03-19",0
"GMDA","2022-03-20",0
"GMDA","2022-03-21",0
"GMDA","2022-03-22",0
"GMDA","2022-03-23",0
"GMDA","2022-03-24",0
"GMDA","2022-03-25",52
"GMDA","2022-03-26",0
"GMDA","2022-03-27",0
"GMDA","2022-03-28",0
"GMDA","2022-03-29",0
"GMDA","2022-03-30",0
"GMDA","2022-03-31",0
