"keyword","time","value"
"GMVD","2023-02-01",27
"GMVD","2023-02-02",50
"GMVD","2023-02-03",69
"GMVD","2023-02-04",0
"GMVD","2023-02-05",40
"GMVD","2023-02-06",46
"GMVD","2023-02-07",83
"GMVD","2023-02-08",42
"GMVD","2023-02-09",35
"GMVD","2023-02-10",0
"GMVD","2023-02-11",0
"GMVD","2023-02-12",0
"GMVD","2023-02-13",48
"GMVD","2023-02-14",0
"GMVD","2023-02-15",0
"GMVD","2023-02-16",65
"GMVD","2023-02-17",0
"GMVD","2023-02-18",0
"GMVD","2023-02-19",0
"GMVD","2023-02-20",0
"GMVD","2023-02-21",100
"GMVD","2023-02-22",0
"GMVD","2023-02-23",0
"GMVD","2023-02-24",0
"GMVD","2023-02-25",0
"GMVD","2023-02-26",71
"GMVD","2023-02-27",0
"GMVD","2023-02-28",0
