"keyword","time","value"
"GNRC","2023-02-01",40
"GNRC","2023-02-02",44
"GNRC","2023-02-03",31
"GNRC","2023-02-04",41
"GNRC","2023-02-05",0
"GNRC","2023-02-06",41
"GNRC","2023-02-07",54
"GNRC","2023-02-08",33
"GNRC","2023-02-09",0
"GNRC","2023-02-10",32
"GNRC","2023-02-11",43
"GNRC","2023-02-12",18
"GNRC","2023-02-13",29
"GNRC","2023-02-14",28
"GNRC","2023-02-15",100
"GNRC","2023-02-16",63
"GNRC","2023-02-17",49
"GNRC","2023-02-18",0
"GNRC","2023-02-19",26
"GNRC","2023-02-20",36
"GNRC","2023-02-21",64
"GNRC","2023-02-22",48
"GNRC","2023-02-23",43
"GNRC","2023-02-24",32
"GNRC","2023-02-25",20
"GNRC","2023-02-26",24
"GNRC","2023-02-27",27
"GNRC","2023-02-28",0
