"keyword","time","value"
"GOOG","2022-10-01",38
"GOOG","2022-10-02",33
"GOOG","2022-10-03",61
"GOOG","2022-10-04",57
"GOOG","2022-10-05",62
"GOOG","2022-10-06",54
"GOOG","2022-10-07",56
"GOOG","2022-10-08",38
"GOOG","2022-10-09",36
"GOOG","2022-10-10",57
"GOOG","2022-10-11",56
"GOOG","2022-10-12",56
"GOOG","2022-10-13",56
"GOOG","2022-10-14",53
"GOOG","2022-10-15",36
"GOOG","2022-10-16",35
"GOOG","2022-10-17",55
"GOOG","2022-10-18",52
"GOOG","2022-10-19",54
"GOOG","2022-10-20",50
"GOOG","2022-10-21",54
"GOOG","2022-10-22",37
"GOOG","2022-10-23",34
"GOOG","2022-10-24",56
"GOOG","2022-10-25",99
"GOOG","2022-10-26",100
"GOOG","2022-10-27",81
"GOOG","2022-10-28",69
"GOOG","2022-10-29",35
"GOOG","2022-10-30",35
"GOOG","2022-10-31",65
