"keyword","time","value"
"GRAB","2022-07-01",98
"GRAB","2022-07-02",91
"GRAB","2022-07-03",95
"GRAB","2022-07-04",97
"GRAB","2022-07-05",100
"GRAB","2022-07-06",99
"GRAB","2022-07-07",98
"GRAB","2022-07-08",97
"GRAB","2022-07-09",93
"GRAB","2022-07-10",89
"GRAB","2022-07-11",96
"GRAB","2022-07-12",99
"GRAB","2022-07-13",94
"GRAB","2022-07-14",93
"GRAB","2022-07-15",99
"GRAB","2022-07-16",98
"GRAB","2022-07-17",87
"GRAB","2022-07-18",96
"GRAB","2022-07-19",93
"GRAB","2022-07-20",96
"GRAB","2022-07-21",91
"GRAB","2022-07-22",94
"GRAB","2022-07-23",91
"GRAB","2022-07-24",90
"GRAB","2022-07-25",93
"GRAB","2022-07-26",97
"GRAB","2022-07-27",88
"GRAB","2022-07-28",95
"GRAB","2022-07-29",97
"GRAB","2022-07-30",89
"GRAB","2022-07-31",94
