"keyword","time","value"
"GRIN","2023-04-01",79
"GRIN","2023-04-02",82
"GRIN","2023-04-03",89
"GRIN","2023-04-04",87
"GRIN","2023-04-05",89
"GRIN","2023-04-06",88
"GRIN","2023-04-07",100
"GRIN","2023-04-08",77
"GRIN","2023-04-09",86
"GRIN","2023-04-10",93
"GRIN","2023-04-11",93
"GRIN","2023-04-12",79
"GRIN","2023-04-13",90
"GRIN","2023-04-14",98
"GRIN","2023-04-15",93
"GRIN","2023-04-16",83
"GRIN","2023-04-17",93
"GRIN","2023-04-18",94
"GRIN","2023-04-19",85
"GRIN","2023-04-20",96
"GRIN","2023-04-21",99
"GRIN","2023-04-22",90
"GRIN","2023-04-23",89
"GRIN","2023-04-24",91
