"keyword","time","value"
"HAIA","2022-07-01",42
"HAIA","2022-07-02",39
"HAIA","2022-07-03",86
"HAIA","2022-07-04",74
"HAIA","2022-07-05",83
"HAIA","2022-07-06",67
"HAIA","2022-07-07",51
"HAIA","2022-07-08",57
"HAIA","2022-07-09",39
"HAIA","2022-07-10",40
"HAIA","2022-07-11",75
"HAIA","2022-07-12",57
"HAIA","2022-07-13",82
"HAIA","2022-07-14",62
"HAIA","2022-07-15",58
"HAIA","2022-07-16",40
"HAIA","2022-07-17",26
"HAIA","2022-07-18",92
"HAIA","2022-07-19",100
"HAIA","2022-07-20",56
"HAIA","2022-07-21",70
"HAIA","2022-07-22",61
"HAIA","2022-07-23",56
"HAIA","2022-07-24",38
"HAIA","2022-07-25",48
"HAIA","2022-07-26",56
"HAIA","2022-07-27",68
"HAIA","2022-07-28",93
"HAIA","2022-07-29",56
"HAIA","2022-07-30",32
"HAIA","2022-07-31",33
