"keyword","time","value"
"HBAN","2022-08-01",12
"HBAN","2022-08-02",41
"HBAN","2022-08-03",22
"HBAN","2022-08-04",25
"HBAN","2022-08-05",25
"HBAN","2022-08-06",13
"HBAN","2022-08-07",15
"HBAN","2022-08-08",34
"HBAN","2022-08-09",0
"HBAN","2022-08-10",34
"HBAN","2022-08-11",28
"HBAN","2022-08-12",18
"HBAN","2022-08-13",11
"HBAN","2022-08-14",100
"HBAN","2022-08-15",0
"HBAN","2022-08-16",32
"HBAN","2022-08-17",12
"HBAN","2022-08-18",26
"HBAN","2022-08-19",27
"HBAN","2022-08-20",0
"HBAN","2022-08-21",0
"HBAN","2022-08-22",0
"HBAN","2022-08-23",21
"HBAN","2022-08-24",15
"HBAN","2022-08-25",26
"HBAN","2022-08-26",40
"HBAN","2022-08-27",0
"HBAN","2022-08-28",0
"HBAN","2022-08-29",35
"HBAN","2022-08-30",0
"HBAN","2022-08-31",0
