"keyword","time","value"
"HLMN","2022-10-01",0
"HLMN","2022-10-02",22
"HLMN","2022-10-03",68
"HLMN","2022-10-04",96
"HLMN","2022-10-05",54
"HLMN","2022-10-06",61
"HLMN","2022-10-07",0
"HLMN","2022-10-08",30
"HLMN","2022-10-09",39
"HLMN","2022-10-10",57
"HLMN","2022-10-11",100
"HLMN","2022-10-12",46
"HLMN","2022-10-13",54
"HLMN","2022-10-14",61
"HLMN","2022-10-15",0
"HLMN","2022-10-16",41
"HLMN","2022-10-17",71
"HLMN","2022-10-18",100
"HLMN","2022-10-19",60
"HLMN","2022-10-20",47
"HLMN","2022-10-21",60
"HLMN","2022-10-22",31
"HLMN","2022-10-23",14
"HLMN","2022-10-24",79
"HLMN","2022-10-25",54
"HLMN","2022-10-26",60
"HLMN","2022-10-27",81
"HLMN","2022-10-28",38
"HLMN","2022-10-29",0
"HLMN","2022-10-30",58
"HLMN","2022-10-31",44
