"keyword","time","value"
"HSAI","2022-10-01",0
"HSAI","2022-10-02",0
"HSAI","2022-10-03",53
"HSAI","2022-10-04",37
"HSAI","2022-10-05",0
"HSAI","2022-10-06",0
"HSAI","2022-10-07",64
"HSAI","2022-10-08",0
"HSAI","2022-10-09",0
"HSAI","2022-10-10",100
"HSAI","2022-10-11",0
"HSAI","2022-10-12",0
"HSAI","2022-10-13",0
"HSAI","2022-10-14",0
"HSAI","2022-10-15",50
"HSAI","2022-10-16",0
"HSAI","2022-10-17",38
"HSAI","2022-10-18",0
"HSAI","2022-10-19",46
"HSAI","2022-10-20",0
"HSAI","2022-10-21",0
"HSAI","2022-10-22",0
"HSAI","2022-10-23",0
"HSAI","2022-10-24",0
"HSAI","2022-10-25",0
"HSAI","2022-10-26",92
"HSAI","2022-10-27",0
"HSAI","2022-10-28",0
"HSAI","2022-10-29",0
"HSAI","2022-10-30",0
"HSAI","2022-10-31",70
