"keyword","time","value"
"HYFM","2022-09-01",69
"HYFM","2022-09-02",68
"HYFM","2022-09-03",0
"HYFM","2022-09-04",0
"HYFM","2022-09-05",0
"HYFM","2022-09-06",54
"HYFM","2022-09-07",0
"HYFM","2022-09-08",51
"HYFM","2022-09-09",70
"HYFM","2022-09-10",82
"HYFM","2022-09-11",0
"HYFM","2022-09-12",73
"HYFM","2022-09-13",0
"HYFM","2022-09-14",0
"HYFM","2022-09-15",0
"HYFM","2022-09-16",0
"HYFM","2022-09-17",0
"HYFM","2022-09-18",0
"HYFM","2022-09-19",0
"HYFM","2022-09-20",59
"HYFM","2022-09-21",0
"HYFM","2022-09-22",100
"HYFM","2022-09-23",0
"HYFM","2022-09-24",0
"HYFM","2022-09-25",0
"HYFM","2022-09-26",0
"HYFM","2022-09-27",59
"HYFM","2022-09-28",0
"HYFM","2022-09-29",0
"HYFM","2022-09-30",0
