"keyword","time","value"
"IMAQ","2022-04-01",0
"IMAQ","2022-04-02",0
"IMAQ","2022-04-03",46
"IMAQ","2022-04-04",23
"IMAQ","2022-04-05",0
"IMAQ","2022-04-06",75
"IMAQ","2022-04-07",23
"IMAQ","2022-04-08",0
"IMAQ","2022-04-09",0
"IMAQ","2022-04-10",0
"IMAQ","2022-04-11",56
"IMAQ","2022-04-12",81
"IMAQ","2022-04-13",100
"IMAQ","2022-04-14",40
"IMAQ","2022-04-15",32
"IMAQ","2022-04-16",0
"IMAQ","2022-04-17",0
"IMAQ","2022-04-18",0
"IMAQ","2022-04-19",39
"IMAQ","2022-04-20",61
"IMAQ","2022-04-21",57
"IMAQ","2022-04-22",43
"IMAQ","2022-04-23",33
"IMAQ","2022-04-24",26
"IMAQ","2022-04-25",68
"IMAQ","2022-04-26",0
"IMAQ","2022-04-27",0
"IMAQ","2022-04-28",0
"IMAQ","2022-04-29",43
"IMAQ","2022-04-30",0
