"keyword","time","value"
"INTC","2023-04-01",31
"INTC","2023-04-02",25
"INTC","2023-04-03",98
"INTC","2023-04-04",100
"INTC","2023-04-05",79
"INTC","2023-04-06",89
"INTC","2023-04-07",46
"INTC","2023-04-08",19
"INTC","2023-04-09",18
"INTC","2023-04-10",73
"INTC","2023-04-11",66
"INTC","2023-04-12",73
"INTC","2023-04-13",68
"INTC","2023-04-14",63
"INTC","2023-04-15",20
"INTC","2023-04-16",14
"INTC","2023-04-17",69
"INTC","2023-04-18",59
"INTC","2023-04-19",62
"INTC","2023-04-20",75
"INTC","2023-04-21",50
"INTC","2023-04-22",15
"INTC","2023-04-23",15
"INTC","2023-04-24",70
