"keyword","time","value"
"IRMD","2022-11-01",0
"IRMD","2022-11-02",0
"IRMD","2022-11-03",0
"IRMD","2022-11-04",46
"IRMD","2022-11-05",0
"IRMD","2022-11-06",0
"IRMD","2022-11-07",0
"IRMD","2022-11-08",0
"IRMD","2022-11-09",0
"IRMD","2022-11-10",46
"IRMD","2022-11-11",0
"IRMD","2022-11-12",0
"IRMD","2022-11-13",100
"IRMD","2022-11-14",0
"IRMD","2022-11-15",0
"IRMD","2022-11-16",0
"IRMD","2022-11-17",0
"IRMD","2022-11-18",0
"IRMD","2022-11-19",0
"IRMD","2022-11-20",0
"IRMD","2022-11-21",0
"IRMD","2022-11-22",0
"IRMD","2022-11-23",0
"IRMD","2022-11-24",69
"IRMD","2022-11-25",0
"IRMD","2022-11-26",0
"IRMD","2022-11-27",0
"IRMD","2022-11-28",0
"IRMD","2022-11-29",0
"IRMD","2022-11-30",0
