"keyword","time","value"
"ISRG","2022-11-01",38
"ISRG","2022-11-02",100
"ISRG","2022-11-03",36
"ISRG","2022-11-04",43
"ISRG","2022-11-05",0
"ISRG","2022-11-06",0
"ISRG","2022-11-07",40
"ISRG","2022-11-08",51
"ISRG","2022-11-09",49
"ISRG","2022-11-10",42
"ISRG","2022-11-11",68
"ISRG","2022-11-12",16
"ISRG","2022-11-13",25
"ISRG","2022-11-14",37
"ISRG","2022-11-15",69
"ISRG","2022-11-16",40
"ISRG","2022-11-17",31
"ISRG","2022-11-18",28
"ISRG","2022-11-19",29
"ISRG","2022-11-20",0
"ISRG","2022-11-21",36
"ISRG","2022-11-22",44
"ISRG","2022-11-23",41
"ISRG","2022-11-24",0
"ISRG","2022-11-25",37
"ISRG","2022-11-26",20
"ISRG","2022-11-27",11
"ISRG","2022-11-28",36
"ISRG","2022-11-29",31
"ISRG","2022-11-30",35
