"keyword","time","value"
"JBLU","2022-09-01",71
"JBLU","2022-09-02",23
"JBLU","2022-09-03",25
"JBLU","2022-09-04",0
"JBLU","2022-09-05",0
"JBLU","2022-09-06",89
"JBLU","2022-09-07",55
"JBLU","2022-09-08",32
"JBLU","2022-09-09",0
"JBLU","2022-09-10",0
"JBLU","2022-09-11",0
"JBLU","2022-09-12",33
"JBLU","2022-09-13",61
"JBLU","2022-09-14",52
"JBLU","2022-09-15",61
"JBLU","2022-09-16",30
"JBLU","2022-09-17",46
"JBLU","2022-09-18",0
"JBLU","2022-09-19",90
"JBLU","2022-09-20",85
"JBLU","2022-09-21",38
"JBLU","2022-09-22",100
"JBLU","2022-09-23",36
"JBLU","2022-09-24",28
"JBLU","2022-09-25",0
"JBLU","2022-09-26",64
"JBLU","2022-09-27",47
"JBLU","2022-09-28",60
"JBLU","2022-09-29",0
"JBLU","2022-09-30",100
