"keyword","time","value"
"LCID","2023-01-01",2
"LCID","2023-01-02",10
"LCID","2023-01-03",17
"LCID","2023-01-04",20
"LCID","2023-01-05",20
"LCID","2023-01-06",18
"LCID","2023-01-07",5
"LCID","2023-01-08",3
"LCID","2023-01-09",18
"LCID","2023-01-10",18
"LCID","2023-01-11",23
"LCID","2023-01-12",27
"LCID","2023-01-13",27
"LCID","2023-01-14",6
"LCID","2023-01-15",1
"LCID","2023-01-16",8
"LCID","2023-01-17",20
"LCID","2023-01-18",18
"LCID","2023-01-19",18
"LCID","2023-01-20",21
"LCID","2023-01-21",5
"LCID","2023-01-22",3
"LCID","2023-01-23",22
"LCID","2023-01-24",21
"LCID","2023-01-25",22
"LCID","2023-01-26",28
"LCID","2023-01-27",100
"LCID","2023-01-28",42
"LCID","2023-01-29",17
"LCID","2023-01-30",68
"LCID","2023-01-31",50
