"keyword","time","value"
"LUNR","2022-06-01",40
"LUNR","2022-06-02",31
"LUNR","2022-06-03",33
"LUNR","2022-06-04",57
"LUNR","2022-06-05",44
"LUNR","2022-06-06",0
"LUNR","2022-06-07",0
"LUNR","2022-06-08",0
"LUNR","2022-06-09",0
"LUNR","2022-06-10",0
"LUNR","2022-06-11",100
"LUNR","2022-06-12",91
"LUNR","2022-06-13",48
"LUNR","2022-06-14",39
"LUNR","2022-06-15",37
"LUNR","2022-06-16",88
"LUNR","2022-06-17",68
"LUNR","2022-06-18",0
"LUNR","2022-06-19",92
"LUNR","2022-06-20",0
"LUNR","2022-06-21",63
"LUNR","2022-06-22",0
"LUNR","2022-06-23",0
"LUNR","2022-06-24",29
"LUNR","2022-06-25",0
"LUNR","2022-06-26",0
"LUNR","2022-06-27",49
"LUNR","2022-06-28",47
"LUNR","2022-06-29",0
"LUNR","2022-06-30",72
