"keyword","time","value"
"MSFT","2023-02-01",53
"MSFT","2023-02-02",76
"MSFT","2023-02-03",68
"MSFT","2023-02-04",16
"MSFT","2023-02-05",13
"MSFT","2023-02-06",46
"MSFT","2023-02-07",70
"MSFT","2023-02-08",100
"MSFT","2023-02-09",85
"MSFT","2023-02-10",54
"MSFT","2023-02-11",23
"MSFT","2023-02-12",15
"MSFT","2023-02-13",64
"MSFT","2023-02-14",64
"MSFT","2023-02-15",57
"MSFT","2023-02-16",53
"MSFT","2023-02-17",51
"MSFT","2023-02-18",16
"MSFT","2023-02-19",9
"MSFT","2023-02-20",21
"MSFT","2023-02-21",48
"MSFT","2023-02-22",45
"MSFT","2023-02-23",41
"MSFT","2023-02-24",42
"MSFT","2023-02-25",13
"MSFT","2023-02-26",10
"MSFT","2023-02-27",37
"MSFT","2023-02-28",38
