"keyword","time","value"
"NFLX","2023-03-01",39
"NFLX","2023-03-02",38
"NFLX","2023-03-03",45
"NFLX","2023-03-04",11
"NFLX","2023-03-05",4
"NFLX","2023-03-06",28
"NFLX","2023-03-07",42
"NFLX","2023-03-08",40
"NFLX","2023-03-09",48
"NFLX","2023-03-10",41
"NFLX","2023-03-11",14
"NFLX","2023-03-12",4
"NFLX","2023-03-13",36
"NFLX","2023-03-14",42
"NFLX","2023-03-15",44
"NFLX","2023-03-16",44
"NFLX","2023-03-17",40
"NFLX","2023-03-18",16
"NFLX","2023-03-19",0
"NFLX","2023-03-20",42
"NFLX","2023-03-21",38
"NFLX","2023-03-22",52
"NFLX","2023-03-23",100
"NFLX","2023-03-24",85
"NFLX","2023-03-25",14
"NFLX","2023-03-26",7
"NFLX","2023-03-27",55
"NFLX","2023-03-28",50
"NFLX","2023-03-29",42
"NFLX","2023-03-30",45
"NFLX","2023-03-31",55
