"keyword","time","value"
"PACW","2022-10-01",0
"PACW","2022-10-02",0
"PACW","2022-10-03",0
"PACW","2022-10-04",0
"PACW","2022-10-05",0
"PACW","2022-10-06",0
"PACW","2022-10-07",37
"PACW","2022-10-08",0
"PACW","2022-10-09",0
"PACW","2022-10-10",0
"PACW","2022-10-11",73
"PACW","2022-10-12",0
"PACW","2022-10-13",80
"PACW","2022-10-14",0
"PACW","2022-10-15",0
"PACW","2022-10-16",0
"PACW","2022-10-17",81
"PACW","2022-10-18",0
"PACW","2022-10-19",0
"PACW","2022-10-20",0
"PACW","2022-10-21",0
"PACW","2022-10-22",51
"PACW","2022-10-23",0
"PACW","2022-10-24",0
"PACW","2022-10-25",0
"PACW","2022-10-26",100
"PACW","2022-10-27",0
"PACW","2022-10-28",0
"PACW","2022-10-29",94
"PACW","2022-10-30",0
"PACW","2022-10-31",0
