"keyword","time","value"
"PHYS","2022-03-01",100
"PHYS","2022-03-02",68
"PHYS","2022-03-03",71
"PHYS","2022-03-04",84
"PHYS","2022-03-05",63
"PHYS","2022-03-06",68
"PHYS","2022-03-07",84
"PHYS","2022-03-08",85
"PHYS","2022-03-09",83
"PHYS","2022-03-10",87
"PHYS","2022-03-11",84
"PHYS","2022-03-12",38
"PHYS","2022-03-13",48
"PHYS","2022-03-14",72
"PHYS","2022-03-15",64
"PHYS","2022-03-16",69
"PHYS","2022-03-17",82
"PHYS","2022-03-18",62
"PHYS","2022-03-19",55
"PHYS","2022-03-20",51
"PHYS","2022-03-21",74
"PHYS","2022-03-22",68
"PHYS","2022-03-23",79
"PHYS","2022-03-24",68
"PHYS","2022-03-25",73
"PHYS","2022-03-26",25
"PHYS","2022-03-27",48
"PHYS","2022-03-28",82
"PHYS","2022-03-29",91
"PHYS","2022-03-30",65
"PHYS","2022-03-31",77
