"keyword","time","value"
"PSTX","2022-03-01",100
"PSTX","2022-03-02",62
"PSTX","2022-03-03",25
"PSTX","2022-03-04",0
"PSTX","2022-03-05",0
"PSTX","2022-03-06",25
"PSTX","2022-03-07",75
"PSTX","2022-03-08",0
"PSTX","2022-03-09",0
"PSTX","2022-03-10",28
"PSTX","2022-03-11",0
"PSTX","2022-03-12",25
"PSTX","2022-03-13",0
"PSTX","2022-03-14",0
"PSTX","2022-03-15",0
"PSTX","2022-03-16",53
"PSTX","2022-03-17",23
"PSTX","2022-03-18",0
"PSTX","2022-03-19",0
"PSTX","2022-03-20",0
"PSTX","2022-03-21",0
"PSTX","2022-03-22",0
"PSTX","2022-03-23",0
"PSTX","2022-03-24",0
"PSTX","2022-03-25",0
"PSTX","2022-03-26",0
"PSTX","2022-03-27",0
"PSTX","2022-03-28",0
"PSTX","2022-03-29",45
"PSTX","2022-03-30",42
"PSTX","2022-03-31",0
