"keyword","time","value"
"RBLX","2022-06-01",77
"RBLX","2022-06-02",90
"RBLX","2022-06-03",80
"RBLX","2022-06-04",73
"RBLX","2022-06-05",77
"RBLX","2022-06-06",67
"RBLX","2022-06-07",76
"RBLX","2022-06-08",91
"RBLX","2022-06-09",96
"RBLX","2022-06-10",91
"RBLX","2022-06-11",69
"RBLX","2022-06-12",73
"RBLX","2022-06-13",83
"RBLX","2022-06-14",88
"RBLX","2022-06-15",90
"RBLX","2022-06-16",100
"RBLX","2022-06-17",90
"RBLX","2022-06-18",72
"RBLX","2022-06-19",71
"RBLX","2022-06-20",69
"RBLX","2022-06-21",83
"RBLX","2022-06-22",79
"RBLX","2022-06-23",82
"RBLX","2022-06-24",91
"RBLX","2022-06-25",67
"RBLX","2022-06-26",59
"RBLX","2022-06-27",92
"RBLX","2022-06-28",83
"RBLX","2022-06-29",65
"RBLX","2022-06-30",76
