"keyword","time","value"
"RIVN","2022-12-01",59
"RIVN","2022-12-02",57
"RIVN","2022-12-03",12
"RIVN","2022-12-04",20
"RIVN","2022-12-05",53
"RIVN","2022-12-06",61
"RIVN","2022-12-07",52
"RIVN","2022-12-08",49
"RIVN","2022-12-09",49
"RIVN","2022-12-10",18
"RIVN","2022-12-11",8
"RIVN","2022-12-12",86
"RIVN","2022-12-13",84
"RIVN","2022-12-14",70
"RIVN","2022-12-15",61
"RIVN","2022-12-16",68
"RIVN","2022-12-17",13
"RIVN","2022-12-18",8
"RIVN","2022-12-19",54
"RIVN","2022-12-20",64
"RIVN","2022-12-21",77
"RIVN","2022-12-22",76
"RIVN","2022-12-23",74
"RIVN","2022-12-24",24
"RIVN","2022-12-25",11
"RIVN","2022-12-26",36
"RIVN","2022-12-27",94
"RIVN","2022-12-28",100
"RIVN","2022-12-29",75
"RIVN","2022-12-30",77
"RIVN","2022-12-31",23
