"keyword","time","value"
"ROKU","2022-03-01",79
"ROKU","2022-03-02",90
"ROKU","2022-03-03",80
"ROKU","2022-03-04",81
"ROKU","2022-03-05",90
"ROKU","2022-03-06",100
"ROKU","2022-03-07",84
"ROKU","2022-03-08",80
"ROKU","2022-03-09",77
"ROKU","2022-03-10",79
"ROKU","2022-03-11",85
"ROKU","2022-03-12",96
"ROKU","2022-03-13",99
"ROKU","2022-03-14",77
"ROKU","2022-03-15",82
"ROKU","2022-03-16",81
"ROKU","2022-03-17",78
"ROKU","2022-03-18",83
"ROKU","2022-03-19",91
"ROKU","2022-03-20",98
"ROKU","2022-03-21",82
"ROKU","2022-03-22",79
"ROKU","2022-03-23",76
"ROKU","2022-03-24",78
"ROKU","2022-03-25",75
"ROKU","2022-03-26",89
"ROKU","2022-03-27",96
"ROKU","2022-03-28",78
"ROKU","2022-03-29",75
"ROKU","2022-03-30",75
"ROKU","2022-03-31",75
