"keyword","time","value"
"SCHW","2022-12-01",52
"SCHW","2022-12-02",49
"SCHW","2022-12-03",53
"SCHW","2022-12-04",37
"SCHW","2022-12-05",91
"SCHW","2022-12-06",34
"SCHW","2022-12-07",15
"SCHW","2022-12-08",53
"SCHW","2022-12-09",36
"SCHW","2022-12-10",42
"SCHW","2022-12-11",41
"SCHW","2022-12-12",34
"SCHW","2022-12-13",43
"SCHW","2022-12-14",100
"SCHW","2022-12-15",27
"SCHW","2022-12-16",52
"SCHW","2022-12-17",56
"SCHW","2022-12-18",23
"SCHW","2022-12-19",31
"SCHW","2022-12-20",40
"SCHW","2022-12-21",67
"SCHW","2022-12-22",59
"SCHW","2022-12-23",20
"SCHW","2022-12-24",21
"SCHW","2022-12-25",20
"SCHW","2022-12-26",33
"SCHW","2022-12-27",23
"SCHW","2022-12-28",64
"SCHW","2022-12-29",13
"SCHW","2022-12-30",26
"SCHW","2022-12-31",37
