"keyword","time","value"
"SGHT","2023-02-01",100
"SGHT","2023-02-02",0
"SGHT","2023-02-03",0
"SGHT","2023-02-04",0
"SGHT","2023-02-05",85
"SGHT","2023-02-06",47
"SGHT","2023-02-07",0
"SGHT","2023-02-08",79
"SGHT","2023-02-09",0
"SGHT","2023-02-10",0
"SGHT","2023-02-11",0
"SGHT","2023-02-12",65
"SGHT","2023-02-13",0
"SGHT","2023-02-14",49
"SGHT","2023-02-15",71
"SGHT","2023-02-16",0
"SGHT","2023-02-17",0
"SGHT","2023-02-18",0
"SGHT","2023-02-19",0
"SGHT","2023-02-20",0
"SGHT","2023-02-21",59
"SGHT","2023-02-22",0
"SGHT","2023-02-23",0
"SGHT","2023-02-24",0
"SGHT","2023-02-25",0
"SGHT","2023-02-26",0
"SGHT","2023-02-27",0
"SGHT","2023-02-28",57
