"keyword","time","value"
"SNAP","2022-06-01",91
"SNAP","2022-06-02",91
"SNAP","2022-06-03",88
"SNAP","2022-06-04",87
"SNAP","2022-06-05",91
"SNAP","2022-06-06",94
"SNAP","2022-06-07",96
"SNAP","2022-06-08",97
"SNAP","2022-06-09",96
"SNAP","2022-06-10",95
"SNAP","2022-06-11",89
"SNAP","2022-06-12",94
"SNAP","2022-06-13",94
"SNAP","2022-06-14",88
"SNAP","2022-06-15",92
"SNAP","2022-06-16",95
"SNAP","2022-06-17",99
"SNAP","2022-06-18",89
"SNAP","2022-06-19",88
"SNAP","2022-06-20",86
"SNAP","2022-06-21",95
"SNAP","2022-06-22",92
"SNAP","2022-06-23",88
"SNAP","2022-06-24",94
"SNAP","2022-06-25",99
"SNAP","2022-06-26",88
"SNAP","2022-06-27",91
"SNAP","2022-06-28",95
"SNAP","2022-06-29",100
"SNAP","2022-06-30",93
