"keyword","time","value"
"STRO","2022-03-01",89
"STRO","2022-03-02",87
"STRO","2022-03-03",79
"STRO","2022-03-04",100
"STRO","2022-03-05",80
"STRO","2022-03-06",54
"STRO","2022-03-07",81
"STRO","2022-03-08",34
"STRO","2022-03-09",85
"STRO","2022-03-10",58
"STRO","2022-03-11",92
"STRO","2022-03-12",95
"STRO","2022-03-13",98
"STRO","2022-03-14",55
"STRO","2022-03-15",73
"STRO","2022-03-16",41
"STRO","2022-03-17",65
"STRO","2022-03-18",71
"STRO","2022-03-19",85
"STRO","2022-03-20",68
"STRO","2022-03-21",92
"STRO","2022-03-22",56
"STRO","2022-03-23",66
"STRO","2022-03-24",59
"STRO","2022-03-25",57
"STRO","2022-03-26",79
"STRO","2022-03-27",85
"STRO","2022-03-28",67
"STRO","2022-03-29",79
"STRO","2022-03-30",80
"STRO","2022-03-31",48
