"keyword","time","value"
"TEAF","2022-10-01",0
"TEAF","2022-10-02",0
"TEAF","2022-10-03",43
"TEAF","2022-10-04",0
"TEAF","2022-10-05",46
"TEAF","2022-10-06",80
"TEAF","2022-10-07",0
"TEAF","2022-10-08",0
"TEAF","2022-10-09",0
"TEAF","2022-10-10",0
"TEAF","2022-10-11",37
"TEAF","2022-10-12",0
"TEAF","2022-10-13",55
"TEAF","2022-10-14",0
"TEAF","2022-10-15",31
"TEAF","2022-10-16",66
"TEAF","2022-10-17",61
"TEAF","2022-10-18",36
"TEAF","2022-10-19",54
"TEAF","2022-10-20",0
"TEAF","2022-10-21",0
"TEAF","2022-10-22",0
"TEAF","2022-10-23",0
"TEAF","2022-10-24",39
"TEAF","2022-10-25",0
"TEAF","2022-10-26",36
"TEAF","2022-10-27",61
"TEAF","2022-10-28",0
"TEAF","2022-10-29",0
"TEAF","2022-10-30",100
"TEAF","2022-10-31",0
