"keyword","time","value"
"UAL","2022-03-01",65
"UAL","2022-03-02",66
"UAL","2022-03-03",79
"UAL","2022-03-04",68
"UAL","2022-03-05",42
"UAL","2022-03-06",37
"UAL","2022-03-07",100
"UAL","2022-03-08",88
"UAL","2022-03-09",76
"UAL","2022-03-10",75
"UAL","2022-03-11",72
"UAL","2022-03-12",43
"UAL","2022-03-13",42
"UAL","2022-03-14",70
"UAL","2022-03-15",80
"UAL","2022-03-16",88
"UAL","2022-03-17",75
"UAL","2022-03-18",66
"UAL","2022-03-19",38
"UAL","2022-03-20",38
"UAL","2022-03-21",77
"UAL","2022-03-22",87
"UAL","2022-03-23",66
"UAL","2022-03-24",62
"UAL","2022-03-25",56
"UAL","2022-03-26",39
"UAL","2022-03-27",39
"UAL","2022-03-28",69
"UAL","2022-03-29",73
"UAL","2022-03-30",75
"UAL","2022-03-31",59
