"keyword","time","value"
"UFAB","2023-02-01",19
"UFAB","2023-02-02",0
"UFAB","2023-02-03",0
"UFAB","2023-02-04",0
"UFAB","2023-02-05",0
"UFAB","2023-02-06",0
"UFAB","2023-02-07",0
"UFAB","2023-02-08",0
"UFAB","2023-02-09",36
"UFAB","2023-02-10",0
"UFAB","2023-02-11",0
"UFAB","2023-02-12",0
"UFAB","2023-02-13",49
"UFAB","2023-02-14",0
"UFAB","2023-02-15",0
"UFAB","2023-02-16",100
"UFAB","2023-02-17",32
"UFAB","2023-02-18",0
"UFAB","2023-02-19",77
"UFAB","2023-02-20",0
"UFAB","2023-02-21",53
"UFAB","2023-02-22",0
"UFAB","2023-02-23",34
"UFAB","2023-02-24",21
"UFAB","2023-02-25",0
"UFAB","2023-02-26",56
"UFAB","2023-02-27",30
"UFAB","2023-02-28",23
