"keyword","time","value"
"ULBI","2023-03-01",33
"ULBI","2023-03-02",32
"ULBI","2023-03-03",51
"ULBI","2023-03-04",0
"ULBI","2023-03-05",30
"ULBI","2023-03-06",0
"ULBI","2023-03-07",25
"ULBI","2023-03-08",0
"ULBI","2023-03-09",0
"ULBI","2023-03-10",0
"ULBI","2023-03-11",0
"ULBI","2023-03-12",0
"ULBI","2023-03-13",44
"ULBI","2023-03-14",35
"ULBI","2023-03-15",0
"ULBI","2023-03-16",33
"ULBI","2023-03-17",0
"ULBI","2023-03-18",0
"ULBI","2023-03-19",0
"ULBI","2023-03-20",0
"ULBI","2023-03-21",20
"ULBI","2023-03-22",0
"ULBI","2023-03-23",0
"ULBI","2023-03-24",0
"ULBI","2023-03-25",43
"ULBI","2023-03-26",30
"ULBI","2023-03-27",0
"ULBI","2023-03-28",67
"ULBI","2023-03-29",100
"ULBI","2023-03-30",77
"ULBI","2023-03-31",34
"ULBI","2023-04-01",0
"ULBI","2023-04-02",35
"ULBI","2023-04-03",20
