"keyword","time","value"
"VALE","2022-12-01",63
"VALE","2022-12-02",70
"VALE","2022-12-03",63
"VALE","2022-12-04",70
"VALE","2022-12-05",64
"VALE","2022-12-06",65
"VALE","2022-12-07",67
"VALE","2022-12-08",69
"VALE","2022-12-09",61
"VALE","2022-12-10",63
"VALE","2022-12-11",73
"VALE","2022-12-12",76
"VALE","2022-12-13",75
"VALE","2022-12-14",69
"VALE","2022-12-15",88
"VALE","2022-12-16",100
"VALE","2022-12-17",82
"VALE","2022-12-18",75
"VALE","2022-12-19",76
"VALE","2022-12-20",79
"VALE","2022-12-21",75
"VALE","2022-12-22",74
"VALE","2022-12-23",70
"VALE","2022-12-24",63
"VALE","2022-12-25",61
"VALE","2022-12-26",78
"VALE","2022-12-27",75
"VALE","2022-12-28",76
"VALE","2022-12-29",79
"VALE","2022-12-30",92
"VALE","2022-12-31",75
