"keyword","time","value"
"WAL","2022-12-01",75
"WAL","2022-12-02",76
"WAL","2022-12-03",74
"WAL","2022-12-04",78
"WAL","2022-12-05",90
"WAL","2022-12-06",76
"WAL","2022-12-07",78
"WAL","2022-12-08",82
"WAL","2022-12-09",75
"WAL","2022-12-10",77
"WAL","2022-12-11",79
"WAL","2022-12-12",77
"WAL","2022-12-13",76
"WAL","2022-12-14",72
"WAL","2022-12-15",75
"WAL","2022-12-16",79
"WAL","2022-12-17",86
"WAL","2022-12-18",78
"WAL","2022-12-19",78
"WAL","2022-12-20",74
"WAL","2022-12-21",89
"WAL","2022-12-22",83
"WAL","2022-12-23",86
"WAL","2022-12-24",100
"WAL","2022-12-25",99
"WAL","2022-12-26",78
"WAL","2022-12-27",75
"WAL","2022-12-28",76
"WAL","2022-12-29",74
"WAL","2022-12-30",73
"WAL","2022-12-31",83
