"keyword","time","value"
"XPEV","2022-08-01",61
"XPEV","2022-08-02",69
"XPEV","2022-08-03",78
"XPEV","2022-08-04",37
"XPEV","2022-08-05",36
"XPEV","2022-08-06",0
"XPEV","2022-08-07",14
"XPEV","2022-08-08",56
"XPEV","2022-08-09",62
"XPEV","2022-08-10",62
"XPEV","2022-08-11",63
"XPEV","2022-08-12",82
"XPEV","2022-08-13",20
"XPEV","2022-08-14",0
"XPEV","2022-08-15",48
"XPEV","2022-08-16",99
"XPEV","2022-08-17",58
"XPEV","2022-08-18",49
"XPEV","2022-08-19",68
"XPEV","2022-08-20",18
"XPEV","2022-08-21",0
"XPEV","2022-08-22",62
"XPEV","2022-08-23",100
"XPEV","2022-08-24",85
"XPEV","2022-08-25",61
"XPEV","2022-08-26",67
"XPEV","2022-08-27",18
"XPEV","2022-08-28",14
"XPEV","2022-08-29",84
"XPEV","2022-08-30",47
"XPEV","2022-08-31",40
